商品,合約月,時間,開,高,低,收,量
TX00,202101,2020/12/31 15:05,14677,14678,14671,14674,418
TX00,202101,2020/12/31 15:10,14674,14675,14670,14672,150
TX00,202101,2020/12/31 15:15,14673,14673,14662,14663,216
TX00,202101,2020/12/31 15:20,14662,14672,14659,14672,430
TX00,202101,2020/12/31 15:25,14671,14673,14668,14668,84
TX00,202101,2020/12/31 15:30,14668,14668,14667,14667,47
TX00,202101,2020/12/31 15:35,14667,14673,14665,14670,119
TX00,202101,2020/12/31 15:40,14670,14670,14666,14666,53
TX00,202101,2020/12/31 15:45,14666,14667,14662,14666,181
TX00,202101,2020/12/31 15:50,14666,14666,14662,14664,54
TX00,202101,2020/12/31 15:55,14663,14667,14663,14666,42
TX00,202101,2020/12/31 16:00,14667,14669,14665,14666,73
TX00,202101,2020/12/31 16:05,14665,14674,14664,14672,160
TX00,202101,2020/12/31 16:10,14672,14673,14668,14668,35
TX00,202101,2020/12/31 16:15,14668,14669,14664,14664,61
TX00,202101,2020/12/31 16:20,14665,14665,14661,14663,151
TX00,202101,2020/12/31 16:25,14664,14667,14663,14667,53
TX00,202101,2020/12/31 16:30,14667,14667,14665,14666,37
TX00,202101,2020/12/31 16:35,14665,14667,14665,14666,17
TX00,202101,2020/12/31 16:40,14666,14671,14666,14667,100
TX00,202101,2020/12/31 16:45,14667,14667,14663,14665,51
TX00,202101,2020/12/31 16:50,14666,14667,14665,14667,30
TX00,202101,2020/12/31 16:55,14668,14671,14668,14669,68
TX00,202101,2020/12/31 17:00,14669,14669,14667,14667,43
TX00,202101,2020/12/31 17:05,14668,14670,14668,14668,52
TX00,202101,2020/12/31 17:10,14668,14668,14667,14668,25
TX00,202101,2020/12/31 17:13,14667,14667,14666,14666,10
TX00,202101,2020/12/31 17:19,14667,14667,14666,14667,28
TX00,202101,2020/12/31 17:25,14667,14668,14664,14665,79
TX00,202101,2020/12/31 17:30,14665,14666,14664,14665,34
TX00,202101,2020/12/31 17:35,14664,14667,14662,14664,84
TX00,202101,2020/12/31 17:40,14664,14665,14663,14664,38
TX00,202101,2020/12/31 17:45,14665,14667,14664,14664,26
TX00,202101,2020/12/31 17:49,14664,14665,14664,14665,8
TX00,202101,2020/12/31 17:55,14665,14667,14665,14667,19
TX00,202101,2020/12/31 18:00,14667,14667,14666,14667,45
TX00,202101,2020/12/31 18:05,14667,14667,14664,14665,39
TX00,202101,2020/12/31 18:10,14665,14666,14665,14665,9
TX00,202101,2020/12/31 18:15,14664,14667,14663,14667,44
TX00,202101,2020/12/31 18:20,14667,14667,14666,14666,14
TX00,202101,2020/12/31 18:25,14665,14667,14665,14667,14
TX00,202101,2020/12/31 18:29,14667,14667,14667,14667,5
TX00,202101,2020/12/31 18:35,14668,14670,14668,14670,60
TX00,202101,2020/12/31 18:40,14669,14670,14668,14670,30
TX00,202101,2020/12/31 18:45,14670,14671,14669,14670,56
TX00,202101,2020/12/31 18:50,14670,14671,14669,14671,35
TX00,202101,2020/12/31 18:55,14672,14675,14671,14673,105
TX00,202101,2020/12/31 19:00,14673,14675,14671,14671,65
TX00,202101,2020/12/31 19:05,14672,14673,14670,14670,40
TX00,202101,2020/12/31 19:10,14670,14672,14670,14672,26
TX00,202101,2020/12/31 19:15,14672,14672,14671,14671,16
TX00,202101,2020/12/31 19:20,14671,14677,14671,14676,101
TX00,202101,2020/12/31 19:25,14676,14685,14676,14683,447
TX00,202101,2020/12/31 19:30,14683,14686,14682,14683,189
TX00,202101,2020/12/31 19:35,14683,14690,14683,14688,462
TX00,202101,2020/12/31 19:40,14688,14691,14686,14688,128
TX00,202101,2020/12/31 19:45,14688,14690,14687,14687,56
TX00,202101,2020/12/31 19:50,14687,14688,14685,14685,60
TX00,202101,2020/12/31 19:55,14685,14686,14683,14683,48
TX00,202101,2020/12/31 20:00,14683,14686,14683,14684,81
TX00,202101,2020/12/31 20:05,14684,14687,14684,14684,46
TX00,202101,2020/12/31 20:10,14684,14685,14684,14685,15
TX00,202101,2020/12/31 20:15,14685,14686,14684,14685,30
TX00,202101,2020/12/31 20:20,14685,14687,14685,14685,24
TX00,202101,2020/12/31 20:25,14686,14686,14685,14685,14
TX00,202101,2020/12/31 20:30,14684,14685,14678,14679,182
TX00,202101,2020/12/31 20:35,14679,14681,14677,14681,73
TX00,202101,2020/12/31 20:40,14681,14683,14681,14682,48
TX00,202101,2020/12/31 20:45,14683,14683,14681,14681,51
TX00,202101,2020/12/31 20:50,14681,14682,14679,14679,52
TX00,202101,2020/12/31 20:55,14679,14679,14677,14678,55
TX00,202101,2020/12/31 21:00,14679,14682,14679,14682,35
TX00,202101,2020/12/31 21:05,14681,14682,14680,14680,25
TX00,202101,2020/12/31 21:10,14679,14684,14678,14683,89
TX00,202101,2020/12/31 21:15,14683,14684,14681,14681,40
TX00,202101,2020/12/31 21:19,14681,14681,14681,14681,6
TX00,202101,2020/12/31 21:25,14682,14682,14678,14680,29
TX00,202101,2020/12/31 21:30,14679,14681,14679,14680,40
TX00,202101,2020/12/31 21:34,14682,14683,14681,14682,31
TX00,202101,2020/12/31 21:40,14682,14683,14681,14681,13
TX00,202101,2020/12/31 21:45,14681,14682,14681,14682,24
TX00,202101,2020/12/31 21:50,14683,14684,14683,14684,32
TX00,202101,2020/12/31 21:55,14684,14684,14683,14683,13
TX00,202101,2020/12/31 22:00,14683,14683,14681,14682,26
TX00,202101,2020/12/31 22:04,14682,14682,14681,14682,21
TX00,202101,2020/12/31 22:10,14683,14684,14683,14684,34
TX00,202101,2020/12/31 22:15,14684,14685,14683,14683,23
TX00,202101,2020/12/31 22:20,14682,14683,14681,14682,17
TX00,202101,2020/12/31 22:25,14682,14683,14681,14681,16
TX00,202101,2020/12/31 22:29,14681,14683,14680,14682,31
TX00,202101,2020/12/31 22:35,14682,14682,14656,14662,1164
TX00,202101,2020/12/31 22:40,14662,14667,14660,14666,407
TX00,202101,2020/12/31 22:45,14666,14666,14655,14664,396
TX00,202101,2020/12/31 22:50,14665,14666,14658,14658,321
TX00,202101,2020/12/31 22:55,14659,14665,14656,14665,207
TX00,202101,2020/12/31 23:00,14664,14667,14660,14666,212
TX00,202101,2020/12/31 23:05,14667,14672,14665,14671,255
TX00,202101,2020/12/31 23:10,14671,14671,14665,14667,163
TX00,202101,2020/12/31 23:15,14666,14667,14659,14664,296
TX00,202101,2020/12/31 23:20,14662,14669,14662,14669,119
TX00,202101,2020/12/31 23:25,14668,14668,14664,14665,69
TX00,202101,2020/12/31 23:30,14665,14667,14660,14661,102
TX00,202101,2020/12/31 23:35,14661,14663,14660,14662,103
TX00,202101,2020/12/31 23:40,14662,14664,14648,14655,657
TX00,202101,2020/12/31 23:45,14655,14661,14655,14657,222
TX00,202101,2020/12/31 23:50,14658,14661,14657,14659,81
TX00,202101,2020/12/31 23:55,14659,14662,14656,14659,151
TX00,202101,2021/1/1 00:00,14659,14660,14653,14655,155
TX00,202101,2021/1/1 00:05,14654,14657,14652,14654,177
TX00,202101,2021/1/1 00:10,14654,14656,14652,14655,67
TX00,202101,2021/1/1 00:15,14655,14656,14650,14656,147
TX00,202101,2021/1/1 00:20,14656,14657,14654,14656,60
TX00,202101,2021/1/1 00:25,14656,14658,14656,14658,58
TX00,202101,2021/1/1 00:30,14659,14661,14655,14656,145
TX00,202101,2021/1/1 00:35,14658,14659,14653,14654,88
TX00,202101,2021/1/1 00:40,14654,14654,14641,14648,454
TX00,202101,2021/1/1 00:45,14648,14649,14641,14646,212
TX00,202101,2021/1/1 00:50,14645,14648,14642,14648,135
TX00,202101,2021/1/1 00:55,14648,14648,14640,14643,188
TX00,202101,2021/1/1 01:00,14642,14644,14636,14638,326
TX00,202101,2021/1/1 01:05,14639,14640,14630,14634,429
TX00,202101,2021/1/1 01:10,14634,14639,14633,14638,119
TX00,202101,2021/1/1 01:15,14638,14642,14637,14642,114
